system_id,ligand_ccd_code,cluster,ligand_molecular_weight,ligand_instance_chain,ligand_num_rot_bonds,ligand_tpsa,ligand_num_unique_interactions,ligand_num_heavy_atoms,ligand_is_proper,entry_pdb_id,entry_keywords,ligand_num_rings,ligand_num_pocket_residues,ligand_smiles,num_training_systems_with_similar_ccds,group_key,query_system,target_system,pli_qcov,pli_unique_qcov,pocket_fident,pocket_fident_qcov,pocket_lddt,pocket_lddt_qcov,pocket_qcov,protein_fident_max,protein_fident_qcov_max,protein_fident_qcov_weighted_max,protein_fident_qcov_weighted_sum,protein_fident_weighted_max,protein_fident_weighted_sum,protein_lddt_max,protein_lddt_qcov_max,protein_lddt_qcov_weighted_max,protein_lddt_qcov_weighted_sum,protein_lddt_weighted_max,protein_lddt_weighted_sum,protein_qcov_max,protein_qcov_weighted_max,protein_qcov_weighted_sum,protein_seqsim_max,protein_seqsim_qcov_max,protein_seqsim_qcov_weighted_max,protein_seqsim_qcov_weighted_sum,protein_seqsim_weighted_max,protein_seqsim_weighted_sum,query_ligand_instance_chain,color,shape,sucos_protein,sucos_shape,sucos_protein_pocket_qcov,sucos_protein_pocket_lddt_qcov,sucos_shape_pocket_qcov,sucos_shape_pocket_lddt_qcov,shape_pocket_qcov,shape_pocket_lddt_qcov,color_pocket_qcov,color_pocket_lddt_qcov,target_release_date,release_date_before_cutoff,query_system_pli_qcov,target_system_pli_qcov,pli_qcov_pli_qcov,pli_unique_qcov_pli_qcov,pocket_fident_pli_qcov,pocket_fident_qcov_pli_qcov,pocket_lddt_pli_qcov,pocket_lddt_qcov_pli_qcov,pocket_qcov_pli_qcov,protein_fident_max_pli_qcov,protein_fident_qcov_max_pli_qcov,protein_fident_qcov_weighted_max_pli_qcov,protein_fident_qcov_weighted_sum_pli_qcov,protein_fident_weighted_max_pli_qcov,protein_fident_weighted_sum_pli_qcov,protein_lddt_max_pli_qcov,protein_lddt_qcov_max_pli_qcov,protein_lddt_qcov_weighted_max_pli_qcov,protein_lddt_qcov_weighted_sum_pli_qcov,protein_lddt_weighted_max_pli_qcov,protein_lddt_weighted_sum_pli_qcov,protein_qcov_max_pli_qcov,protein_qcov_weighted_max_pli_qcov,protein_qcov_weighted_sum_pli_qcov,protein_seqsim_max_pli_qcov,protein_seqsim_qcov_max_pli_qcov,protein_seqsim_qcov_weighted_max_pli_qcov,protein_seqsim_qcov_weighted_sum_pli_qcov,protein_seqsim_weighted_max_pli_qcov,protein_seqsim_weighted_sum_pli_qcov,query_ligand_instance_chain_pli_qcov,color_pli_qcov,shape_pli_qcov,sucos_protein_pli_qcov,sucos_shape_pli_qcov,tanimoto_pli_qcov,sucos_protein_pocket_qcov_pli_qcov,sucos_protein_pocket_lddt_qcov_pli_qcov,sucos_shape_pocket_qcov_pli_qcov,sucos_shape_pocket_lddt_qcov_pli_qcov,shape_pocket_qcov_pli_qcov,shape_pocket_lddt_qcov_pli_qcov,color_pocket_qcov_pli_qcov,color_pocket_lddt_qcov_pli_qcov,target_release_date_pli_qcov,release_date_before_cutoff_pli_qcov,num_ligand_chains,num_protein_chains,num_proper_ligand_chains,release_date,sucos_shape_pocket_qcov_2023,topological_tanimoto,morgan_tanimoto,pocket_qcov_alone
8c70__1__1.A__1.B,TVI,c319,339.03308678800005,1.B,4,85.09,7,20,True,8c70,HYDROLASE,3,18,O[C@@H]1CNC[C@H]1n1cc(COc2cncc(Br)c2)nn1,0,8c70__1__1.A__1.B__1.B,8c70__1__1.A__1.B,4er1__1__1.A__1.B,43.0,57.0,100.0,100.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.B,6.7064723867809874,29.51106968974938,34.73315677086094,50.91881461604451,34.73315677086094,33.69116206773511,50.91881461604451,49.39125017756317,29.51106968974938,28.625737599056897,6.7064723867809874,6.505278215177557,1991-01-15,True,8c70__1__1.A__1.B,6ron__1__1.A__1.B_1.D,71.0,57.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.B,7.310446797501981,54.578821615828346,37.14372836934833,40.9880100191089,0.2747918243754731,37.14372836934833,37.14372836934833,40.9880100191089,40.9880100191089,54.578821615828346,54.578821615828346,7.310446797501981,7.310446797501981,2020-07-08,True,1,1,1,2023-05-24,100.0,27.64227642276423,6.837606837606838,100.0
8c74__1__1.A__1.C,TWX,c319,275.13822478400004,1.C,4,98.22,11,20,True,8c74,HYDROLASE,3,17,Nc1ccc(OCc2cn([C@@H]3CNC[C@H]3O)nn2)cc1,0,8c74__1__1.A__1.C__1.C,8c74__1__1.A__1.C,2zjm__1__1.A__1.B,9.0,18.0,41.0,41.0,64.0,64.0,88.0,23.0,22.0,22.0,22.0,23.0,23.0,62.0,59.0,59.0,59.0,62.0,62.0,96.0,96.0,96.0,38.0,36.0,36.0,36.0,38.0,38.0,1.C,15.929276312321432,49.4259519056591,11.08968023664893,58.41710137692802,9.758918608251058,7.097395351455315,51.40704921169666,37.38694488123394,43.494837676980005,31.632609219621823,14.01776315484286,10.194736839885715,2009-01-20,True,8c74__1__1.A__1.C,1epp__1__1.A__1.D,64.0,45.0,100.0,94.0,97.0,91.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,3.596966823957317,34.29333889535155,33.271570998162524,41.38520272673567,0.2647527910685805,31.27527673827277,30.277129608327897,38.90209056313153,37.66053448132946,32.235738561630455,31.206938394769917,3.381148814519878,3.273239809801159,1994-12-20,True,1,1,1,2023-05-24,100.0,26.354082457558608,16.129032258064516,100.0
8c7r__1__1.A__1.C_1.D,T8R,c58,363.147058152,1.C,5,75.60000000000001,13,27,True,8c7r,HYDROLASE,4,27,CCCCCn1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)c2ccccc21,0,8c7r__1__1.A__1.C_1.D__1.C,8c7r__1__1.A__1.C_1.D,5m0e__1__1.A__1.D_1.T_1.U_1.V,32.0,14.0,100.0,83.0,99.0,82.0,83.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,8.281015601739046,64.55563603653258,29.398265489049187,47.595569709117655,24.400560355910823,24.10657770102033,39.50432285856765,39.02836716147648,53.58117791032203,52.93562154995671,6.873242949443408,6.790432793426017,2017-08-16,True,8c7r__1__1.A__1.C_1.D,4zg7__1__1.A__1.C_1.D_1.H_1.I_1.J,42.0,32.0,100.0,81.0,94.0,75.0,81.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,97.0,97.0,97.0,97.0,97.0,97.0,1.C,7.737089158257284,58.73076536001594,31.485670362419416,47.20761261349972,0.4933993399339934,25.50339299355973,23.614252771814563,38.23816621693477,35.40570946012479,47.57191994161291,44.04807402001195,6.267042218188401,5.802816868692963,2015-10-14,True,2,1,2,2023-11-22,44.901847088188845,32.67528931245746,14.736842105263156,83.0
8c7r__1__1.A__1.C_1.D,5JK,c58,402.349780712,1.D,5,40.46,9,29,True,8c7r,HYDROLASE,4,25,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,12,8c7r__1__1.A__1.C_1.D__1.D,8c7r__1__1.A__1.C_1.D,5m0e__1__1.A__1.D_1.T_1.U_1.V,32.0,14.0,100.0,83.0,99.0,82.0,83.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,78.74762167010205,93.56890508245624,86.81663419646353,92.63946999599462,72.05780638306472,71.18964004110009,76.89076009667552,75.96436539671558,77.66219121843868,76.72650216761411,65.3605259861847,64.57304976948367,2017-08-16,True,8c7r__1__1.A__1.C_1.D,4zg7__1__1.A__1.C_1.D_1.H_1.I_1.J,42.0,32.0,100.0,81.0,94.0,75.0,81.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,97.0,97.0,97.0,97.0,97.0,97.0,1.D,5.72362249790753,50.62091202744303,37.42819513331433,40.81452640706099,0.1780415430267062,30.31683805798461,28.07114634998575,33.0597663897194,30.610894805295743,41.00293874222886,37.96568402058227,4.6361342233051,4.292716873430647,2015-10-14,True,2,1,2,2023-11-22,91.24669661733614,100.0,100.0,83.0
8c71__1__1.A__1.C,TVO,c519,218.141913196,1.C,1,35.5,5,16,True,8c71,HYDROLASE,3,17,O[C@@H]1CNC[C@H]1N1CCc2ccccc2C1,0,8c71__1__1.A__1.C__1.C,8c71__1__1.A__1.C,3t6i__1__1.A__1.B_1.C_1.D,40.0,20.0,100.0,100.0,96.0,96.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,12.350454742144167,75.7555794142547,34.72031312132184,66.43058428694926,34.72031312132184,33.33150059646896,66.43058428694926,63.77336091547128,75.7555794142547,72.72535623768451,12.350454742144167,11.8564365524584,2012-08-01,True,8c71__1__1.A__1.C,3t7p__1__1.A__1.B_1.C,80.0,80.0,100.0,82.0,99.0,81.0,82.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,5.997701385031666,76.6789120492407,24.716572974911376,51.53185106641537,0.2229885057471264,20.267589839427327,20.020424109678217,42.2561178744606,41.740799363796455,62.87670788037737,62.10991875988496,4.918115135725966,4.85813812187565,2012-08-01,True,1,1,1,2023-05-24,100.0,38.38028169014084,9.090909090909092,100.0
8k5y__1__1.A__1.H,VP6,c806,382.1805041960001,1.H,2,95.24,9,28,True,8k5y,HYDROLASE,4,23,CC(C)(O)c1ccc2cc(C(=O)N3CCCc4cnc(N)c(F)c4C3)[nH]c2c1,0,8k5y__1__1.A__1.H__1.H,8k5y__1__1.A__1.H,5ue4__3__2.B__2.O,0.0,33.0,87.0,70.0,79.0,64.0,70.0,96.0,94.0,94.0,94.0,96.0,96.0,94.0,93.0,93.0,93.0,94.0,94.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,100.0,1.H,8.534245662208335,60.5384286049654,0.0,37.21481185884795,0.0,0.0,26.050368301193565,23.81747958966269,42.37690002347578,38.744594307177856,5.973971963545834,5.461917223813335,2017-09-13,True,8k5y__1__1.A__1.H,2usn__1__1.A__1.B_1.H,20.0,11.0,52.0,30.0,49.0,35.0,48.0,55.0,39.0,39.0,39.0,55.0,55.0,80.0,56.0,56.0,56.0,80.0,80.0,70.0,70.0,70.0,68.0,48.0,48.0,48.0,68.0,68.0,1.H,7.985543058791868,60.24104111763199,14.253189564103092,42.54594270114772,0.3230769230769231,6.841530990769484,4.988616347436082,20.422052496550904,14.8910799454017,28.915699736463356,21.0843643911712,3.8330606682200967,2.794940070577154,1998-12-23,True,1,1,1,2023-12-06,26.050368301193565,38.23529411764706,9.183673469387756,70.0
7k5v__1__1.A__1.C,BIH,c46,287.976229976,1.C,2,108.74,8,18,True,7k5v,HYDROLASE/HYDROLASE INHIBITOR,2,18,O=S(=O)(O)c1ccc2cc(S(=O)(=O)O)ccc2c1,6,7k5v__1__1.A__1.C__1.C,7k5v__1__1.A__1.C,5qar__3__1.C__1.H,56.0,62.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,10.939481761986238,70.1801765172547,27.19235701929098,60.07726332993729,27.19235701929098,27.19235701929098,60.07726332993729,60.07726332993729,70.1801765172547,70.1801765172547,10.939481761986238,10.939481761986238,2018-01-10,True,7k5v__1__1.A__1.C,5qau__4__1.D__1.N,78.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,14.39589670614011,68.59572943974945,26.346786002344714,54.12756195607638,0.085667215815486,26.346786002344714,26.346786002344714,54.12756195607638,54.12756195607638,68.59572943974945,68.59572943974945,14.39589670614011,14.39589670614011,2018-01-10,True,1,1,1,2021-12-01,100.0,8.272058823529411,12.76595744680851,100.0
7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,HEM,c5,616.1772930040001,1.C,8,96.26,14,43,True,7s3y,OXIDOREDUCTASE/Inhibitor,6,28,C=CC1=C(C)C2=Cc3c(C)c(CCC(=O)O)c4n3[Fe]35<-N6=C(C=c7c(C=C)c(C)c(n73)=CC1=N->52)C(C)=C(CCC(=O)O)C6=C4,41653,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G__1.C,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,1d0c__1__1.A_1.B__1.I_1.Q,,,95.0,,98.0,,,66.0,66.0,66.0,65.0,66.0,66.0,95.0,94.0,94.0,93.0,95.0,94.0,99.0,99.0,99.0,78.0,77.0,77.0,77.0,78.0,78.0,1.C,,,0.0,,0.0,0.0,,,,,,,2001-11-21,True,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,5g0p__1__1.A_1.B__1.C_1.D_1.E_1.F,91.0,70.0,98.0,89.0,100.0,91.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,,,82.24752500729652,,1.0,74.84524775663984,74.84524775663984,,,,,,,2016-06-15,True,5,2,3,2022-09-14,100.0,29.402834008097166,3.5294117647058822,98.0
7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,H4B,c5,241.11748934,1.D,2,136.29,5,17,True,7s3y,OXIDOREDUCTASE/Inhibitor,2,20,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,1297,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G__1.D,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,3n5v__1__1.A_1.B__1.C_1.D_1.E_1.F,82.0,67.0,100.0,96.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,98.02722552962996,99.6880403370341,89.64092605221276,98.07693619405865,86.05528901012426,86.05528901012426,94.1538587462963,94.1538587462963,95.70051872355272,95.70051872355272,94.10613650844476,94.10613650844476,2011-02-09,True,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,5g0p__1__1.A_1.B__1.C_1.D_1.E_1.F,91.0,70.0,98.0,89.0,100.0,91.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,95.74125358408683,99.38064602526038,86.12121431183348,96.45582543017284,1.0,78.37030502376847,78.37030502376847,87.7748011414573,87.7748011414573,90.43638788298696,90.43638788298696,87.12454076151903,87.12454076151903,2016-06-15,True,5,2,3,2022-09-14,100.0,100.0,100.0,98.0
7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,V5G,c5,370.17936132400007,1.E,6,87.05,8,28,True,7s3y,OXIDOREDUCTASE/Inhibitor,4,19,Nc1cccc(CCc2cccc(OCc3ccc4ccc(N)nc4c3)c2)n1,4,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G__1.E,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,3n5v__1__1.A_1.B__1.C_1.D_1.E_1.F,82.0,67.0,100.0,96.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,37.939774470109,79.22851301440812,64.06273526168333,65.43158361305912,61.500225851216,61.500225851216,62.814320268536754,62.814320268536754,76.05937249383179,76.05937249383179,36.42218349130464,36.42218349130464,2011-02-09,True,7s3y__1__1.A_1.B__1.C_1.D_1.E_1.F_1.G,5g0p__1__1.A_1.B__1.C_1.D_1.E_1.F,91.0,70.0,98.0,89.0,100.0,91.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,5.584768840744838,64.19919340445938,36.38489096516373,39.5213287346977,0.3973105134474328,33.11025077829899,33.11025077829899,35.96440914857491,35.96440914857491,58.42126599805804,58.42126599805804,5.0821396450778025,5.0821396450778025,2016-06-15,True,5,2,3,2022-09-14,100.0,44.10187667560322,35.08771929824561,98.0
