system_id,ligand_id,ccd_code,ligand_type,split
7fvs__1__1.A_1.B__1.J,1.J,61I,ligand,test
7klf__1__1.A__1.D_1.E_1.G,1.G,DCP,ligand,test
7n2m__1__1.A__1.D_1.E_1.F,1.D,DCP,ligand,test
7omg__1__1.A__1.D_1.E_1.F_1.G,1.D,DTP,ligand,test
7owf__1__1.A__1.D_1.E_1.F,1.F,2IU,ligand,test
7rbg__1__1.D__1.E_1.G_1.J,1.E,DCP,ligand,test
7sfc__1__1.A__1.BA_1.R,1.BA,I67,ligand,test
7w9s__1__1.A__1.D_1.I_1.J,1.D,CTP,ligand,test
8b67__1__1.A__1.D_1.E_1.G,1.G,CTP,ligand,test
8b6k__1__1.A__1.G_1.H,1.H,DCP,ligand,test
8b76__1__1.A__1.G_1.I_1.J,1.J,TTP,ligand,test
8b79__1__1.A__1.G_1.H_1.I,1.G,UTP,ligand,test
8cxs__1__1.A__1.L_1.N,1.N,MTA,ligand,test
8cxw__1__1.A__1.N,1.N,Q8L,ligand,test
8e23__1__1.A__1.I,1.I,UAF,ligand,test
8e24__1__1.A__1.G_1.H,1.H,DG3,ligand,test
8e24__1__1.A__1.I,1.I,UA6,ligand,test
8fs1__1__1.A__1.K,1.K,YB0,ligand,test
8fs2__1__1.A__1.K,1.K,YB5,ligand,test
8ftm__1__1.A__1.E_1.F,1.E,ADP,ligand,test
8q40__1__1.A_1.B__1.D_1.H_1.I,1.D,DT-DC-DA,ligand,test
